German,Farsi,Pronunciation
Atlas,اطلس,atlas
Atom,اتم,atom
Benzin,بنزین,benzin
Beton,بتن,beton
Bowling,بولینگ,bowling
Delfin,دلفین,delfin
Doktor,دكتر,doktor
Doping,دوپینگ,doping
Elektromotor,الکتروموتور,elektro-motor
Elektronik,الکترونیک,elektronik
Film,فیلم,film
Filter,فیلتر,filter
Forum,فروم,forum
Foul,فول,foul
Hamster,همستر,hamster
Hormon,هورمون,hormon
Hotel,هتل,hotel
Internet,اینترنت,internet
Island,ایسلند,island
Kiwi,كیوی,kiwi
Klitoris,کلیتوریس,klitoris
Kompost,کمپوست,kompost
Link,لینک,link
Mikrofon,میکروفن,mikrofon
Modem,مودم,modem
Motor,موتور,motor
Nikotin,نیکوتین,nikotin
Ozon,اوزون,ozon
Pik,پیک,pik
Populist,پوپولیست,populist
Porno,پورنو,porno
Post,پست,post
Poster,پوستر,poster
Rap,رپ,rap
Reflektor,رفلکتور,reflektor
Rekord,رکورد,rekord
Ring,رینگ,ring
Sensor,سنسور,sensor
Silikon,سیلیکون,silikon
Silo,سیلو,silo
Tablet,تبلت,tablet
Telefon,تلفن,telefon
Tenor,تنور,tenor
Tofu,توفو,tofu
Uniform,اونیفورم,uniform
modern,مدرن,modern
retro,رترو,retro
